Pincode,Enrolment_Count,Update_Count
100000,218,2
110001,136,5456
110002,385,10676
110003,857,9063
110004,11,167
110005,871,22119
110006,948,38228
110007,844,28509
110008,517,36210
110009,391,14604
110010,155,6240
110011,19,641
110012,168,9694
110013,141,3669
110014,212,7177
110015,818,23908
110016,271,3739
110017,1420,20739
110018,3238,37720
110019,682,31548
110020,372,11111
110021,254,4951
110022,190,7310
110023,133,4577
110024,320,4161
110025,1167,44952
110026,117,3298
110027,1009,27671
110028,147,6544
110029,188,2751
110030,904,19819
110031,549,33646
110032,2171,40827
110033,1018,70348
110034,2318,45177
110035,316,15743
110036,483,20115
110037,1166,22248
110038,52,3065
110039,1314,37797
110040,2208,33582
110041,2766,87923
110042,1387,79147
110043,1462,77135
110044,1792,91595
110045,2984,56526
110046,362,27895
110047,300,14662
110048,205,4260
110049,192,4685
110051,806,30958
110052,533,35864
110053,3809,84268
110054,347,7968
110055,908,13832
110056,33,1060
110057,212,5953
110058,190,6311
110059,10462,172707
110060,53,1502
110061,551,5323
110062,2622,101155
110063,389,25898
110064,161,8324
110065,720,9537
110066,53,1763
110067,135,3345
110068,223,7311
110070,608,10484
110071,273,9149
110072,80,3084
110073,105,4477
110074,959,24984
110075,294,14476
110076,540,23954
110077,615,19628
110078,527,16100
110080,327,9617
110081,587,21639
110082,257,8740
110083,472,28702
110084,1355,73025
110085,2707,74021
110086,2899,121795
110087,214,12400
110088,384,19862
110089,219,10862
110090,12,165
110091,2246,67368
110092,4763,93731
110093,1450,73012
110094,8342,182238
110095,1290,31637
110096,867,51438
121001,3129,48677
121002,1435,28971
121003,1644,28274
121004,8228,107381
121005,757,32042
121006,212,7769
121007,95,2801
121008,60,2345
121009,126,3915
121010,89,2682
121012,10,345
121013,140,4038
121101,302,12192
121102,1747,54896
121103,1360,30330
121105,521,14202
121106,596,15813
121107,403,10409
121705,197,5198
122001,4643,61917
122002,701,11921
122003,211,5736
122004,490,10674
122005,12,91
122006,147,4356
122008,7,82
122009,58,2076
122010,8,143
122011,86,2511
122015,46,1245
122016,30,860
122017,253,9847
122018,176,5644
122051,65,1294
122052,11,327
122098,5,83
122101,277,12110
122102,309,5693
122103,1334,21881
122104,772,15073
122105,556,16358
122107,1096,21741
122108,1343,19137
122413,146,4504
122414,96,2799
122502,106,3287
122503,200,6820
122504,143,3097
122505,281,14145
122506,197,5400
122508,4822,55938
123001,870,23552
123021,317,11207
123023,414,9282
123024,159,4668
123027,322,8967
123028,125,2496
123029,390,12902
123034,158,4297
123035,123,2713
123101,88,4033
123102,96,3291
123103,75,1992
123106,204,9688
123110,23,866
123301,75,1863
123302,133,3886
123303,129,4181
123401,884,42373
123411,226,7160
123412,66,1468
123501,296,8386
124001,1720,47454
124021,130,3728
124022,58,1855
124102,92,2172
124103,408,13341
124104,104,2170
124105,130,3696
124106,146,5167
124107,114,2663
124108,172,3740
124109,143,3699
124111,116,3922
124112,295,10531
124113,127,5285
124142,52,1927
124146,84,3454
124201,86,3322
124202,93,2700
124303,106,3664
124401,153,4236
124404,33,998
124406,70,1452
124411,73,2367
124412,83,2787
124501,311,9012
124504,58,1163
124505,76,2394
124506,28,908
124507,748,34342
124513,48,1269
124514,181,6106
125001,1803,51144
125004,118,4255
125005,100,2774
125006,88,1948
125033,716,31435
125037,33,1333
125038,74,2672
125039,316,14953
125042,172,5890
125044,168,4732
125047,238,6574
125048,130,4212
125049,134,4010
125050,608,29223
125051,516,28632
125052,443,17129
125053,232,8772
125054,64,1853
125055,1062,53964
125058,38,1923
125060,122,4951
125075,187,7206
125076,189,6835
125077,150,6999
125078,155,5666
125101,72,2033
125102,223,12930
125103,187,7077
125104,375,18173
125106,147,5678
125110,270,9934
125111,294,10715
125112,154,4793
125113,301,8098
125120,457,15478
125121,500,21377
125133,101,4987
125201,242,12692
126101,287,9552
126102,977,33067
126110,79,2456
126111,146,3124
126112,391,17441
126113,183,6021
126114,242,5981
126115,350,12330
126116,809,32215
126125,197,6920
126152,160,6174
127021,779,30498
127022,79,2457
127025,58,2234
127026,137,3263
127027,72,2639
127028,162,4027
127029,78,3541
127030,136,4112
127031,132,5794
127032,212,7284
127035,121,2820
127040,308,9606
127041,113,3579
127042,75,3122
127043,129,3736
127045,42,864
127046,208,8101
127110,22,682
127111,94,4559
127114,92,3412
127201,316,10627
127306,386,12746
127307,76,2152
127308,139,7077
127309,160,6379
127310,152,5218
127311,8,22
127312,63,1250
131001,1431,45624
131021,153,4787
131022,69,1504
131023,193,5958
131024,102,2660
131027,146,4064
131028,108,3965
131029,105,3808
131039,116,2623
131101,495,14288
131102,110,2458
131103,116,3153
131301,604,22804
131302,150,5924
131304,77,2703
131305,66,1819
131306,114,3595
131402,221,6709
131403,44,1607
131408,135,3697
131409,64,1567
132001,1214,52023
132022,78,1896
132023,77,2395
132024,119,6700
132036,119,3778
132037,119,3322
132039,341,10449
132040,149,3520
132041,282,9516
132046,112,3063
132054,157,5471
132101,355,12526
132102,37,1604
132103,4664,102763
132104,169,5895
132105,85,1844
132106,5,113
132107,155,6367
132108,96,2530
132113,252,7601
132114,785,19463
132115,51,1236
132116,175,9428
132117,174,7072
132122,64,1623
132140,71,2219
132145,84,2536
132157,147,5054
133001,420,18194
133004,159,4879
133005,85,2363
133006,11,363
133021,16,634
133101,63,1611
133102,76,2174
133103,211,8647
133104,134,3881
133105,13,530
133201,143,4564
133202,78,2330
133203,104,3698
133204,179,7997
133205,95,4505
133206,93,3625
133301,35,1203
133302,109,6709
134003,1015,32419
134007,76,2808
134011,20,712
134101,3,103
134102,203,13255
134104,20,647
134107,43,1551
134108,28,1071
134109,186,7990
134112,54,3413
134113,156,10242
134114,37,902
134115,13,369
134116,113,9150
134117,20,539
134118,189,6649
134201,90,2175
134202,225,5617
134203,410,13347
134204,131,6206
134205,45,1500
135001,1135,43770
135002,101,4011
135003,348,20947
135021,139,5447
135101,245,10792
135102,263,11157
135103,260,8566
135106,116,3099
135133,349,14282
136020,82,3198
136021,99,5029
136026,135,5489
136027,1317,51107
136030,86,3074
136033,184,6553
136034,218,11172
136035,107,5707
136038,34,1382
136042,84,5152
136043,196,7842
136044,140,4297
136117,429,14399
136118,375,17831
136119,353,9979
136128,283,14232
136129,119,3514
136130,75,3411
136131,218,8614
136132,298,9549
136135,396,19666
136136,42,1927
136156,125,5487
140001,181,7808
140101,89,6212
140102,40,2057
140103,145,6620
140108,65,4118
140109,36,978
140110,45,1987
140111,71,3367
140112,46,2257
140113,49,2426
140114,30,1783
140115,25,1236
140116,51,2457
140117,177,5732
140118,53,2130
140119,59,2368
140123,25,1912
140124,60,2099
140125,41,2028
140126,93,5012
140133,53,2632
140201,68,2457
140301,1576,30835
140306,139,4765
140307,130,5050
140308,91,3017
140401,462,23837
140405,29,1366
140406,261,15685
140407,14,598
140412,89,6478
140413,26,1587
