Pincode,Enrolment_Count,Update_Count,Lag_Ratio,ULI,Risk_Category,Latitude,Longitude,District
110001,136,5456,-39.11764705882353,0.0,SAFE,28.642690476190474,77.21942857142858,New Delhi
110002,385,10676,-26.72987012987013,0.0,SAFE,28.641,77.24164999999999,New Delhi
110003,857,9063,-9.575262543757292,0.0,SAFE,28.60813,77.22393,Central Delhi
110004,11,167,-14.181818181818182,0.0,SAFE,28.6455,77.205,Central Delhi
110005,871,22119,-24.39494833524684,0.0,SAFE,28.6531375,77.188775,Central Delhi
110006,948,38228,-39.324894514767934,0.0,SAFE,28.696133333333332,77.21005555555556,North Delhi
110007,844,28509,-32.77843601895734,0.0,SAFE,28.6764,77.2074,North Delhi
110008,517,36210,-69.03868471953578,0.0,SAFE,28.6452,77.18994,Central Delhi
110009,391,14604,-36.350383631713555,0.0,SAFE,28.7121,77.206,North West Delhi
110010,155,6240,-39.25806451612903,0.0,SAFE,28.5724,77.02740000000001,South West Delhi
110011,19,641,-32.73684210526316,0.0,SAFE,28.6431,77.2197,Central Delhi
110012,168,9694,-56.70238095238095,0.0,SAFE,28.6431,77.2197,Central Delhi
110013,141,3669,-25.02127659574468,0.0,SAFE,28.5878,77.2541,South Delhi
110014,212,7177,-32.85377358490566,0.0,SAFE,28.5014,77.2274,South Delhi
110015,818,23908,-28.227383863080686,0.0,SAFE,28.6553,77.0657,West Delhi
110016,271,3739,-12.797047970479705,0.0,SAFE,28.5531,77.1916,South West Delhi
110017,1420,20739,-13.60492957746479,0.0,SAFE,28.5189,77.2131,South Delhi
110018,3238,37720,-10.649166151945645,0.0,SAFE,28.6396,77.0884,West Delhi
110019,682,31548,-45.25806451612903,0.0,SAFE,28.5014,77.2274,South Delhi
110020,372,11111,-28.868279569892472,0.0,SAFE,28.54978,77.26512,New Delhi
110021,254,4951,-18.492125984251967,0.0,SAFE,28.5818,77.1793,South West Delhi
110022,190,7310,-37.473684210526315,0.0,SAFE,28.5724,77.0274,South West Delhi
110023,133,4577,-33.41353383458647,0.0,SAFE,28.5724,77.0274,South West Delhi
110024,320,4161,-12.003125,0.0,SAFE,28.572375,77.236475,South Delhi
110025,1167,44952,-37.51928020565553,0.0,SAFE,28.567200000000003,77.2725,South Delhi
110026,117,3298,-27.188034188034187,0.0,SAFE,28.6709,77.141,West Delhi
110027,1009,27671,-26.42418235877106,0.0,SAFE,28.6553,77.0657,West Delhi
110028,147,6544,-43.51700680272109,0.0,SAFE,28.5724,77.0274,South West Delhi
110029,188,2751,-13.632978723404255,0.0,SAFE,28.580300000000005,77.2028,New Delhi
110030,904,19819,-20.923672566371682,0.0,SAFE,28.564914285714284,77.04924285714286,South West Delhi
110031,549,33646,-60.28597449908926,0.0,SAFE,28.654814285714288,77.27518571428571,East Delhi
110032,2171,40827,-17.80561953017043,0.0,SAFE,28.633684615384617,77.29704615384615,North East Delhi
110033,1018,70348,-68.10412573673871,0.0,SAFE,28.715999999999998,77.1429,North West Delhi
110034,2318,45177,-18.48964624676445,0.0,SAFE,28.716,77.14289999999998,North West Delhi
110035,316,15743,-48.81962025316456,0.0,SAFE,28.6772,77.1573,North West Delhi
110036,483,20115,-40.64596273291925,0.0,SAFE,28.812689999999996,77.16158,North West Delhi
110037,1166,22248,-18.080617495711834,0.0,SAFE,28.547980000000003,77.11330000000001,South West Delhi
110038,52,3065,-57.94230769230769,0.0,SAFE,28.5724,77.0274,South West Delhi
110039,1314,37797,-27.764840182648403,0.0,SAFE,28.804991666666666,77.03089166666668,North West Delhi
110040,2208,33582,-14.209239130434783,0.0,SAFE,28.840825,77.0938875,North West Delhi
110041,2766,87923,-30.78705712219812,0.0,SAFE,28.67352727272727,77.01398181818182,West Delhi
