date,enrolment_count,update_count
01-04-2025,257438,10157351
01-05-2025,183616,9446243
01-06-2025,215734,9584851
01-07-2025,616868,12013267
01-09-2025,74989,770784
02-03-2025,109,0
02-09-2025,76496,752987
03-09-2025,71988,628345
04-09-2025,65349,684749
05-09-2025,26069,369735
06-09-2025,58957,622729
07-09-2025,14658,121987
08-09-2025,83353,951350
09-03-2025,3404,0
09-09-2025,88508,921771
10-09-2025,84300,871310
11-09-2025,73206,790254
12-09-2025,78860,871511
13-09-2025,56229,625723
13-10-2025,74831,208186
14-09-2025,14990,146376
15-03-2025,3102,0
15-09-2025,53240,858988
15-10-2025,58895,758343
16-09-2025,63846,833595
16-10-2025,36980,768701
17-09-2025,57409,746711
17-10-2025,115876,656203
18-09-2025,60598,886939
18-10-2025,56021,529929
19-09-2025,57357,790806
19-10-2025,58972,578756
20-03-2025,6218,0
20-09-2025,49377,732338
20-10-2025,15405,149373
21-09-2025,4400,0
21-10-2025,7643,90797
22-09-2025,40321,0
22-10-2025,233,12129
23-03-2025,576,0
23-09-2025,48943,0
23-10-2025,1146,34910
24-09-2025,56573,0
24-10-2025,36207,696655
25-09-2025,53324,0
25-10-2025,49996,792079
26-03-2025,211,0
26-09-2025,37653,0
26-10-2025,28683,873145
27-03-2025,2704,0
27-09-2025,13592,0
28-03-2025,191,0
28-09-2025,2454,0
29-03-2025,67,0
29-09-2025,6896,0
30-09-2025,1944,0
31-12-2025,125436,0
01-11-2025,17849,908304
02-11-2025,100071,595305
03-11-2025,31532,914627
04-11-2025,1007,817803
05-11-2025,75593,616151
06-11-2025,43585,1011311
07-11-2025,42330,838005
08-11-2025,52391,837972
09-11-2025,48219,379774
10-11-2025,66985,863552
11-11-2025,44033,773213
12-11-2025,40496,956561
13-11-2025,33046,709009
14-11-2025,46265,733945
15-11-2025,120091,698567
15-12-2025,139048,621771
16-11-2025,53956,402579
17-11-2025,30693,682880
18-11-2025,70427,851647
19-11-2025,115032,733937
21-12-2025,29602,181831
22-12-2025,109337,263253
23-12-2025,47327,488749
24-12-2025,48459,242245
25-11-2025,58406,686309
25-12-2025,48635,800799
26-12-2025,52401,884357
27-10-2025,26195,550648
27-12-2025,53031,876307
28-10-2025,33808,439914
28-12-2025,45690,365987
29-10-2025,28931,665551
29-12-2025,60692,576911
30-10-2025,116722,713811
31-10-2025,71376,1074491
01-03-2025,0,19469780
01-12-2025,0,744281
02-12-2025,0,1005977
03-12-2025,0,844053
04-12-2025,0,927375
05-12-2025,0,669206
06-12-2025,0,631717
07-12-2025,0,443893
08-12-2025,0,929572
09-12-2025,0,772961
10-12-2025,0,667649
11-12-2025,0,890312
12-12-2025,0,949474
13-12-2025,0,694701
14-12-2025,0,310658
16-12-2025,0,963205
18-12-2025,0,103511
19-12-2025,0,840688
20-12-2025,0,449631
26-11-2025,0,292015
27-11-2025,0,678684
28-11-2025,0,446681
29-11-2025,0,244276
